Llave,Valor,Image Name
Los Dolores De Cabeza De Deshidratación / Tensión,"Compruebe acostado y de pie BP (si los síntomas posturales).

<b> Educación para la Salud </b> [5]
-Fomentar maneras para aumentar la ingesta de líquidos.
(Es decir, cocos, agua hervida, sopas, fruta).
Explicar la importancia del agua en el cuerpo.
-Asesoramiento reducción de bebidas con cafeína.
-Cuando la orina es clara, que han bebido suficiente agua.
-Enquire sobre otros desencadenantes - es decir, el estrés.

<b> Tratamiento farmacológico </b>
Paracetamol 500-1000mg como necesarios / 6-8 horas (max 4g / 24 horas).

<I> Asesorar sólo para tomar después de haber bebido 1 litro de agua y si todavía tienen el dolor de cabeza. </ I>
",
Migraña,"<b> Educación para la Salud </b>
Consejos sobre los disparadores (café / queso / estrés).
Alentar a un diario de los síntomas que el paciente puede reconocer sus factores desencadenantes.

<b> aguda migraña </b>
La combinación de un NSAID y un antiemético (Ibuprofen 200-400 mg y 10 mg de metoclopramida).

<b> crónica migraña </b>
medicación profiláctica regular puede considerarse si el paciente está teniendo más de 2 migrañas al mes [5,6,7].

Primera linea:
Atenolol 50 mg una vez al día. *

Segunda linea:
12,5 mg de amitriptilina en la noche,
Aumentar a 25 mg si se tolera.

* <I> Siempre evaluar para contraindicaciones para B-bloqueantes (asma, insuficiencia cardíaca, enfermedad vascular periférica o la depresión. </ I>
",
Otras Causas,"Otras causas de dolor de cabeza pueden incluir:

- La sinusitis.
- la patología del cuello.
- la patología dental.
- Otitis media.
- Dengue (en el brote).
- La malaria (si el viaje)

Dolor de cabeza con señales de alerta:

- lesiones que ocupan espacio.
- intracraneal sangra.
- infecciones intracraneales.
- La hipertensión intracraneal idiopática.

Cualquier preocupación de que el dolor de cabeza no es sólo una tensión simple o dolor de cabeza deshidratación, garantizan un examen neurológico completo, incluyendo el fondo de ojo, en una habitación oscura, se lleva a cabo (para descartar edema de papila).

<b> discutir los casos con el LMP flotante. </b>",
Referencias,"[1] Los dolores de cabeza y deshidratación | National Headache Foundation. Fundación Nacional de Dolor de cabeza (2016). Disponible en: http://www.headaches.org/2016/07/07/headaches-and-dehydration/. (Consultado: 7ª de septiembre de 2017).
[2] Dolor de cabeza, cefalea en racimos, cefalea de tensión, dolor de cabeza sinusal. Disponible en: https://patient.info/doctor/headache-pro. (Consultado: 7ª de septiembre de 2017).
[3] El dolor de cabeza causas. Clínica Mayo (2016). Disponible en: http://www.mayoclinic.org/symptoms/headache/basics/definition/sym-20050800. (Consultado: 7ª de septiembre de 2017).
[4] Ravishankar, K. El arte de la historia clínica en un paciente dolor de cabeza. Ana. Indian Acad. Neurol. 15, 7 (2012).
[5] dolores de cabeza Deshidratación: signos, tratamiento y prevención. Medical News Today, disponible en: https://www.medicalnewstoday.com/articles/317511.php. (Consultado: 7ª de septiembre de 2017).
[6] Gestión de la migraña. tratamiento de la migraña común y la información. Disponible en: https://patient.info/doctor/migraine-management. (Consultado: 7ª de septiembre de 2017).
[7] profilaxis de la migraña en adultos. Información migraña. Disponible en: https://patient.info/doctor/migraine-prophylaxis-in-adults. (Consultado: 7ª de septiembre de 2017).",
,,
2.3 Dolor Musculoesquelético,,
Causas,"“El dolor musculoesquelético es una consecuencia bien conocida de por esfuerzo repetitivo, el uso excesivo, y trastornos musculoesqueléticos relacionados con el trabajo.

Estas lesiones incluyen una variedad de trastornos que causan dolor en los huesos, articulaciones, músculos, o estructuras circundantes.

El dolor puede ser agudo o crónico, focal o difuso. El dolor lumbar es el ejemplo más común de dolor musculoesquelético crónico.

Otros ejemplos incluyen tendinitis y tendinosis, neuropatías, mialgia, y las fracturas por estrés [1] “.",
Presentación,"Muchos pacientes describen una larga historia de dolor muscular generalizada, peor después del trabajo.

El dolor de rodilla tiende a ser debido a la osteoartritis.

El dolor de espalda suele ser debido a una mala postura, especialmente al levantar objetos pesados.

Hombro y dolor en el codo tiende a ser de uso repetitivo (con machete o lavar la ropa).",
Evaluación,"<b> Historia </b>
Una historia clínica detallada a menudo puede dilucidar una causa probable. Excluir historia de traumatismo directo, deformidad, o patología aguda (infección en curso / articulación séptica).
Para el dolor de espalda, prestar especial atención a las características de bandera roja [1,2]:

<b> Banderas rojas </b>
dolor -Thoracic
-Edad de inicio <20 o> 50 años).
-Pérdida de control del intestino o de la vejiga.
-Weakness / entumecimiento en las extremidades (s).
-foot gota, la marcha perturbado.
fiebre -asociado.
anestesia -Saddle.
-Historia de carcinoma / Tuberculosis.
deformidad -estructural.

<b> Examen </b>
En función de la articulación afectada, es necesario realizar un examen enfocado a orientar la gestión y seguimiento.

Si el dolor de espalda se asocia con incontinencia intestinal / de la vejiga o la anestesia silla de montar, un cabo un examen rectal digital [3].

<b> Un examen neurológico completo debe ser realizado en cualquier paciente con una o más señales de alerta. </b>

<b> Si se provocan signos alarmantes, evaluación hospital puede ser facilitada. </b>
",
2.3.1 Gestión,,
Educación Para La Salud,"Dar ejercicios y estiramientos adecuados.

La fisioterapia puede ser muy beneficioso.

paquetes de calor hechos con un paño y agua tibia.

Asesoramiento sobre técnicas de postura, movimiento y manejo.

La seguridad de que el dolor muscular es normal después de un trabajo duro y tiende a disminuir con el tiempo.

Asesorarlos para volver a la próxima clínica o buscar consejo médico adicional si es necesario.

La pérdida de peso en su caso (sobrepeso con osteoartritis en las articulaciones de las extremidades inferiores).",
Dolor Musculoesquelético Agudo,"El paracetamol / acetaminofeno:
500-1000mg como necesarios / 6-8 hrs.
(/ 24 horas máximo 4 g).

<b> La inflamación aguda y no tiene contraindicaciones </b>
200-400mg ibuprofeno, 3x / día según sea necesario.

* <I> No para repetir las recetas, veo los efectos secundarios y contraindicaciones de los AINE. </ I>",
El Dolor Crónico Musculoesquelético,"El paracetamol / acetaminofeno:
500-1000mg, según sea necesario / 6-8hrs.
(Max4g / 24 horas).

También véase la sección sobre inyecciones conjuntas si es apropiado.

<I> Los AINE no está indicada, probablemente causar más daño a largo plazo </ i>",
Dolor Neuropático,"Esto podría ser la neuropatía diabética o una condición tal como la ciática.

Amitriptilina 12,5 mg por la noche, se incrementó después de una semana a 25 mg.",
Referencias,"[1] Disponible en: https://www.iasp-pain.org/files/Content/ContentFolders/GlobalYearAgainstPain2/MusculoskeletalPainFactSheets/MusculoskeletalPain_Final.pdf. (Consultado: 7ª de septiembre de 2017).
[2] síntomas señal de alerta: El dolor de espalda. Disponible en: http://www.gponline.com/red-flag-symptoms-back-pain/musculoskeletal-disorders/article/798743. (Consultado: 7ª de septiembre de 2017).
[3] Sitio Web. Disponible en: http://bestpractice.bmj.com/best-practice/monograph/189/diagnosis/step-by-step.html. (Consultado: 7ª de septiembre de 2017)
[4] dolor de espalda baja en los adultos, el dolor de espalda Causas, ejercicios dolor de espalda baja. Disponible en: https://patient.info/health/nonspecific-lower-back-pain-in-adults. (Consultado: 7ª de septiembre de 2017).
",
,,
2.4 Intraarticular Inyecciones,,
Indicaciones,"- Artritis.
- La bursitis.
- La tendinopatía.
- La tenosinovitis.
- Entesopatía.",
Las Complicaciones Potenciales,"- Hipersensibilidad (local / sistémica).
- atrofia del tejido o la formación de nódulos.
- hipopigmentación de la piel.
- Ruptura de tendón.
- Infección, local o sistémica.
- Post-Iny. llamarada de los síntomas (hasta 48 horas).
- rubor facial (por lo general después 24-72hrs).
- Irregularidad menstrual.
- elevados de azúcar en sangre en pacientes diabéticos.
- El desmayo / reacción vasovagal.
- inducida por esteroides osteonecrosis / artropatía.
",
Contraindicaciones,"- Alergia conocida.
- La infección local o sistémica.
- lesión cutánea activos en lugar de la infección.
- coagulopatía no controlada.
- Fractura / articulación inestable.
- Tendón región con alto riesgo de ruptura.
- articulación protésica.
",
Enfoque General,"El consentimiento informado (continuación) - los más importantes es que los signos de infección informe con urgencia.

Pantalla de cualquier contraindicación.

Elaborar anestésicos locales y esteroides y desechar la aguja.

Adjuntar nueva aguja estéril.

Marcos sitio (por ejemplo, usando cubierta de la aguja). Nótese bien. La inyección a través de la tinta corre el riesgo de piel tatuaje.

Limpiar el área con un antiséptico tópico apropiado.

Aspirar antes de la inyección para asegurar la embarcación no entró.

Inyectar el uso de ninguna técnica de contacto (a menos que la esterilidad completa observado).

sitio de la cubierta con una gasa estéril.

Los pacientes deben ser advertidos de permanecer en la clínica durante 20 minutos después de la inyección.

resto relativa durante 24 a 48 horas después de la inyección, especialmente si se inyecta la rodilla.

Opinión del paciente a las 24 - 48 horas.

Advertir al paciente sobre el brote de esteroides de los síntomas (por lo general de corta duración hasta 48 horas) y se aconseja al paciente que puede ser de hasta 5 días antes de señalar beneficio.
",
El Uso De Un Anestésico Local,"Alivio inmediato de la anestesia como evidencia de la buena colocación de la inyección.

Disminuir la propensión del glucocorticoide para causar atrofia.

Disminuir cristales de glucocorticoides actúan como factor irritante o pro-inflamatoria (llamado llamarada después de la inyección) antes de que el efecto bioquímico del glucocorticoide se hace cargo.
",
Consentimiento,"El paciente debe ser informado acerca de los riesgos y los beneficios correspondientes de la inyección.

El clínico debe documentar que esta discusión ha tenido lugar y que el paciente haya dado su consentimiento para el tratamiento.",
Complicaciones,"<b> Infección Los riesgos </b>
Una complicación rara de inyección articulaciones y tejidos blandos. mediada por la transmisión de las manos es el factor principal que contribuye a la infección con la asistencia sanitaria. preparación de la piel del paciente se recomienda antes de los procedimientos quirúrgicos para reducir el riesgo de infección. Sin embargo, la ausencia de preparación de la piel en la clínica no se debe considerar una contraindicación absoluta para proceder con una inyección conjunta.
Antes de preparación de la piel, la piel debe estar libre de suciedad visible. La preparación de la piel se debe aplicar en círculos concéntricamente ampliación comienza en el sitio de la inyección propuesta. Alcohol base, preparado a base de clorhexidina y yodo basado son todos adecuados.

<b> Tendon Rupture </b>
Ha habido informes de casos de ruptura del tendón después de la inyección de esteroides y la ingestión. estudios de biopsia han demostrado reducción de la viabilidad celular y la proliferación, la síntesis de colágeno reducida y organización, y resistencia reducida como resultado de la exposición a tendón de esteroides. Por lo tanto, es generalmente mejor para evitar la inyección de esteroides en el cuerpo de un tendón y, salvo que se indique fuertemente, evitar las inyecciones de esteroides en la zona de los tendones en alto riesgo de rotura debido a la patología (tendinopatía grave) o ubicación anatómica (Aquiles).

<b> Osteonecrosis </b>
El riesgo de osteonecrosis es más alta con altas dosis prolongadas, de esteroides exógenos, particularmente en la presencia de otros factores de riesgo. Los ciclos cortos de esteroides sin embargo, también se ha demostrado que aumenta el riesgo de esta rara complicación.

<b> anticoagulación y la inyección conjunta </ ​​b>
Si la INR <4,5, entonces es generalmente considerado seguro para proceder como sangrado riesgos son muy bajos. Sin embargo, es poco probable que el paciente habrá tenido un INR reciente por lo que puede que tenga que remitir al paciente a un especialista o para un INR o considerar otras opciones de tratamiento. opciones de analgesia son a menudo limitadas en estos pacientes.
La decisión de hacer estas inyecciones en pacientes que son anticoagulada requiere una cuidadosa consideración. El riesgo de detener la anticoagulación es a menudo más alto que el pequeño riesgo de complicaciones hemorrágicas, pero esto siempre debe ser pesado. Un plan de gestión en caso de hemorragia se debe discutir con el paciente por adelantado. Tenemos pocos pacientes que reciben tratamiento con warfarina.

<b> Esteroides tipo y la frecuencia </b>
Dexametasona y metilprednisolona son los dos esteroides inyectables que se comercializan para flotantes médicos. Ha habido algunos indicios de daño en el cartílago después de la inyección de esteroides pero no hay evidencia definitiva. Revisiones Sistemáticas (Stevens et al 2012) y Douglas ambas han celebrado de manera similar, la frecuencia de las inyecciones debe estar guiada por el diagnóstico clínico, los objetivos del tratamiento, la opinión profesional y experiencia.
UpToDate proporciona evidencia más reciente (oct 2018) desaconsejando inyecciones de esteroides en serie debido a la preocupación acerca de los posibles efectos negativos sobre el cartílago y progresión de la enfermedad; ningún número es citado como seguros de inseguro.

<b> Irregularidad menstrual y Síndrome de Cushing </b>
La absorción sistémica de esteroides se ha demostrado que afecta el eje hipotálamo-pituitaria-adrenal (HPA) después de las inyecciones conjuntos de esteroides. Esto puede durar hasta cuatro semanas después de una inyección única, a veces más, dependiendo de la dosis y la frecuencia de las inyecciones.
Este es el mecanismo pensado para afectar a la menstruación. Se han notificado casos raros de síndrome de Cushing, pero en general el uso de dosis inusualmente altas y frecuencias. pacientes con VIH en los antirretrovirales son más susceptibles al síndrome iatrogénico de Cushing. La consideración cuidadosa se debe dar a esta complicación si van a ser llevado a cabo múltiples o repetidas inyecciones de esteroides.

<b> atrofia del tejido blando </b>
Esta es una complicación infrecuente de la inyección de esteroides incluso en procedimientos dermatológicos superficiales que implican la inyección de esteroides.
Hiperglucemia - intraarticular inyecciones de esteroides se ha demostrado que elevar el azúcar en sangre en pacientes diabéticos, comenzando después de unas horas y dura de unos días, a veces más tiempo. Estos aumentos de glucemia son estadísticamente significativos, pero para la mayoría de los pacientes no clínicamente significativa. Sin embargo, los pacientes diabéticos deben ser advertidos de este efecto.

<b> Anafilaxia </b>
De acuerdo con el sitio web del Consejo reanimación Reino Unido, el curso de tiempo para la detención cardiopulmonar resultante de medicamento inyectado se produce predominantemente entre 2- 20 minutos después de la inyección. Los pacientes deben ser pidieron que se quedara durante los 20 minutos.
",
Referencias,"[1] directrices de inyección de tejido blando conjunta y. Cuidado Directrices Reumatología primaria (PCR) Dr. Lucy Douglas Actualización 2017.
[2] UpToDate W Neal Roberts. Jr. MD. Intraarticular y tejidos blandos inyecciones conjuntas: ¿Qué agentes para inyectar y con qué frecuencia? De octubre de 2018.
",
,,
2.5 Rash,,
Presentación,"Los pacientes, típicamente niños, presentes con erupciones cutáneas agudas o crónicas.

A menudo, estos son inespecíficos y el diagnóstico subyacentes pueden parecer poco clara.",
Causas,"<b> Las causas más comunes </b>
- La sarna.
- El impétigo.
- Dermatitis seborreica.
- La foliculitis.
- Picaduras de insectos.
- La leishmaniasis cutánea.

Es importante ser consciente de que erupciones en la piel puede ser debido a causas más siniestros [1]. Estos incluyen la enfermedad meningocócica, malignidad, lesión no accidental o TB.",
Evaluación,"Los niños en las comunidades suelen estar totalmente vacunados, y con frecuencia las madres tendrán una tarjeta para probarlo. Afortunadamente esto hace que muchas de las infecciones más graves menos probable.

Si tiene alguna duda con respecto a las vacunas como la madre se olvidó la tarjeta del niño, pregunte al proveedor médico principal si la comunidad en cuestión tiene un buen programa de vacunación (algunas comunidades tienen menos acceso que los demás por desgracia).

<b> Historia </b> [2]
-Pasado historial médico y familiar,
-Ocupación, aficiones, medicamentos.
-Duración de las lesiones.
-Tienen habido episodios anteriores?
-¿La lesión persisten o cambiar?
-Donde es / son la lesión (s)?
-Provoking o factores de alivio?
-Itch, sensibilidad, sangrado o flujo.
-Tiene paciente recibió el tratamiento que antes?
-Joint / Participación de los ojos?
-¿Fiebre?

<b> Examen </b>
-Do un examen a fondo.
-Si es necesario, considerar el uso de la habitación privada.
-Verificar membranas mucosas.
niños -Undressed para examen completo.


",
Diagnóstico,"El siguiente diagrama puede ayudar con el diagnóstico

(IMAGEN)

Tomado de [3]

Otra opción es tomar una fotografía de la lesión (siempre que el consentimiento del paciente / familia) que se puede cargar a SERMO consejo secundaria.",rash_diagnosis
2.5.1 Gestión,,
Educación Para La Salud,"Una alta proporción de los casos que vemos será infecciosa. Por lo tanto, las medidas para prevenir la propagación pueden ser útiles. Estos [2,4] incluyen:
-Lavado de manos.
-Por favor, jabón de manos para el paciente.
-Evitar picazón.
",
Eccematosa / Dermatitis Erupciones,"Primera linea:
Emoliente / humectante.
El aceite de coco (aceite de coco), loción de calamina, baño de avena, E45).

Segunda linea:
Trial de hidrocortisona al 1%. *

* <I> Debe utilizarse con precaución si diferencial es la infección fúngica, puede juicio en el área pequeña de la piel, si la erupción empeora entonces el paciente debe dejar de usar </ i>.",
Heridas / Infecciones Secundarias,"Limpiar la herida con agua limpia y jabón y yodo.

Aconsejar a la paciente en relación con el mantenimiento de la herida y evitar el océano.

No utilice crema antibiótico triple (a menos que el impétigo), yodo suministro al paciente para llevar a casa con el asesoramiento sobre la forma de utilizar.

Si la infección se necesita un tratamiento antibiótico, administrar antibióticos según las directrices celulitis o impétigo, dependiendo de la presentación clínica.",
Seguimiento,"Para ver si el tratamiento es eficaz comenzado puede pedir al paciente que regrese a la Viernes Seguimiento de las clínicas de un solo día (o jueves por la mañana en las clínicas de varios días).

terapias especiales se pueden adquirir y llevados de vuelta durante el seguimiento si no son los que tenemos en stock con regularidad.",
